"Last Name","First Name","Nat","Age","Games_Played","Goals","Assists","Salary"
"Abdelkader","Justin","USA",30,75,13,22,5e+06
"Aberg","Pontus","SWE",24,53,4,12,650000
"Acciari","Noel","USA",26,60,10,1,7e+05
"Agostino","Kenny","USA",25,5,0,1,875000
"Aho","Sebastian","FIN",20,78,29,36,742500
"Aho","Sebastian","SWE",21,22,1,3,925000
"Alt","Mark","USA",26,15,0,0,650000
"Alzner","Karl","CAN",29,82,1,11,6e+06
"Amadio","Michael","CAN",21,37,4,4,742500
"Anderson","Josh","CAN",23,63,19,11,1600000
"Andersson","Lias","SWE",19,7,1,1,742500
"Andersson","Rasmus","SWE",21,10,0,0,925000
"Andreoff","Andy","CAN",26,45,3,6,675000
"Andrighetto","Sven","CHE",24,50,8,14,1250000
"Anisimov","Artem","RUS",29,72,20,11,5e+06
"Antipin","Victor","RUS",25,47,0,10,925000
"Archibald","Darren","CAN",27,27,4,5,650000
"Archibald","Josh","CAN",25,42,5,6,650000
"Armia","Joel","FIN",24,79,12,17,975000
"Arvidsson","Viktor","SWE",24,78,29,32,4250000
"Aston-Reese","Zach","USA",23,16,4,2,925000
"Athanasiou","Andreas","CAN",23,71,16,17,1387500
"Atkinson","Cam","USA",28,65,24,22,4500000
"Auger","Justin","CAN",23,2,0,0,650000
"Auvitu","Yohann","FRA",28,33,3,6,7e+05
"Backes","David","USA",33,57,14,19,8e+06
"Backlund","Mikael","SWE",28,82,14,31,3575000
"Backstrom","Nicklas","SWE",30,81,21,50,7500000
"Baertschi","Sven","CHE",25,53,14,15,2e+06
"Bailey","Josh","CAN",28,76,18,53,650000
"Bailey","Justin","USA",22,12,3,1,4e+06
"Balisy","Chase","USA",25,8,0,0,650000
"Baptiste","Nicholas","CAN",22,33,4,2,750000
"Barbashev","Ivan","RUS",22,53,7,6,650000
"Barberio","Mark","CAN",27,46,3,10,7e+05
"Barkov","Aleksander","FIN",22,79,27,51,5250000
"Barrie","Tyson","CAN",26,68,14,43,5250000
"Bartkowski","Matt","USA",29,18,0,3,650000
"Barzal","Mathew","CAN",20,82,22,63,925000
"Beagle","Jay","CAN",32,79,7,15,1750000
"Bear","Ethan","CAN",20,18,1,3,730000
"Beauchemin","Francois","CAN",37,67,3,14,1e+06
"Beaulieu","Nathan","CAN",25,59,1,8,2300000
"Beauvillier","Anthony","CAN",20,71,21,15,925000
"Beleskey","Matt","CAN",29,15,0,0,4e+06
"Bellemare","Pierre-Edouard","FRA",32,72,6,10,1450000
"Belpedio","Louie","USA",21,1,0,2,NA
"Benn","Jamie","CAN",28,82,36,43,1100000
"Benn","Jordie","CAN",30,77,4,11,1.3e+07
"Bennett","Beau","USA",26,6,0,0,650000
"Bennett","Sam","CAN",21,82,11,15,1950000
"Benning","Matt","CAN",23,73,6,15,925000
"Bergeron","Patrice","CAN",32,64,30,33,8750000
"Berglund","Patrik","SWE",29,57,17,9,4700000
"Bernier","Steve","CAN",32,4,0,0,650000
"Bertschy","Christoph","CHE",23,1,0,0,892500
"Bertuzzi","Tyler","CAN",22,48,7,17,650000
"Biega","Alex","CAN",29,44,1,8,8e+05
"Bieksa","Kevin","CAN",36,59,0,8,4e+06
"Bigras","Chris","CAN",22,15,0,1,832500
"Bitetto","Anthony","USA",27,32,1,2,650000
"Bjork","Anders","USA",21,30,4,8,925000
"Bjorkstrand","Oliver","DNK",22,82,11,29,7e+05
"Bjugstad","Nick","USA",25,82,19,29,3850000
"Blais","Sammy","CAN",21,11,1,2,722500
"Blandisi","Joseph","CAN",23,3,0,0,660000
"Blidh","Anton","SWE",22,1,0,0,867500
"Blunden","Mike","CAN",31,1,0,0,750000
"Boedker","Mikkel","DNK",28,74,15,22,4800000
"Boeser","Brock","USA",20,62,29,26,925000
"Bogosian","Zach","USA",27,18,0,1,5500000
"Boll","Jared","USA",31,10,1,0,9e+05
"Bonino","Nick","USA",29,71,12,13,4100000
"Booth","David","USA",33,28,4,1,7e+05
"Borgman","Andreas","SWE",22,48,3,8,925000
"Borgstrom","Henrik","FIN",20,4,1,0,925000
"Borowiecki","Mark","CAN",28,52,3,8,1200000
"Bortuzzo","Robert","CAN",28,72,4,9,1150000
"Boucher","Reid","USA",24,20,3,2,687500
"Bouma","Lance","CAN",27,53,3,6,1e+06
"Bournival","Michael","CAN",25,5,0,0,650000
"Bourque","Gabriel","CAN",27,58,5,6,750000
"Bouwmeester","Jay","CAN",34,35,2,5,5400000
"Bowey","Madison","CAN",22,51,0,12,750000
"Boychuk","Johnny","CAN",34,58,6,12,7e+06
"Boyd","Travis","USA",24,8,0,1,650000
"Boyle","Brian","USA",33,69,13,10,3e+06
"Bozak","Tyler","CAN",31,81,11,32,4e+06
"Brassard","Derick","CAN",30,72,21,25,3500000
"Bratt","Jesper","SWE",19,74,13,22,732500
"Braun","Justin","USA",30,81,5,28,3800000
"Brickley","Connor","USA",25,44,4,8,925000
"Brickley","Daniel","USA",22,1,0,1,750000
"Broadhurst","Alex","USA",24,2,0,0,650000
