score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_students,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper,bty_avg
4.7,tenure track,minority,female,english,36,55.81395,43,5,7,6,2,4,6,5
4.1,tenure track,minority,female,english,36,68.8,125,5,7,6,2,4,6,5
3.9,tenure track,minority,female,english,36,60.8,125,5,7,6,2,4,6,5
4.8,tenure track,minority,female,english,36,62.60163,123,5,7,6,2,4,6,5
4.6,tenured,not minority,male,english,59,85,20,4,4,2,2,3,3,3
4.3,tenured,not minority,male,english,59,87.5,40,4,4,2,2,3,3,3
2.8,tenured,not minority,male,english,59,88.63636,44,4,4,2,2,3,3,3
4.1,tenured,not minority,male,english,51,100,55,5,2,5,2,3,3,3.333
3.4,tenured,not minority,male,english,51,56.92308,195,5,2,5,2,3,3,3.333
4.5,tenured,not minority,female,english,40,86.95652,46,2,5,4,3,3,2,3.167
3.8,tenured,not minority,female,english,40,88.88889,27,2,5,4,3,3,2,3.167
4.5,tenured,not minority,female,english,40,96,25,2,5,4,3,3,2,3.167
4.6,tenured,not minority,female,english,40,85,20,2,5,4,3,3,2,3.167
3.9,tenured,not minority,female,english,40,56,25,2,5,4,3,3,2,3.167
3.9,tenured,not minority,female,english,40,88.09524,42,2,5,4,3,3,2,3.167
4.3,tenured,not minority,female,english,40,90,20,2,5,4,3,3,2,3.167
4.5,tenured,not minority,female,english,40,83.33334,18,2,5,4,3,3,2,3.167
4.8,tenure track,not minority,female,english,31,87.5,48,7,9,9,7,6,6,7.333
4.6,tenure track,not minority,female,english,31,90.90909,44,7,9,9,7,6,6,7.333
4.6,tenure track,not minority,female,english,31,79.16666,48,7,9,9,7,6,6,7.333
4.9,tenure track,not minority,female,english,31,88.88889,45,7,9,9,7,6,6,7.333
4.6,tenure track,not minority,female,english,31,88.13559,59,7,9,9,7,6,6,7.333
4.5,tenure track,not minority,female,english,31,56.32184,87,7,9,9,7,6,6,7.333
